academic underachievement,acculturation multicultural issues,addiction,adhd,adjustment coping and illness,adoption,alcohol abuse,alzheimers,anger management,anxiety,aspergers syndrome,attachment therapy early intervention,autism,bachelor amp husband challenges,behavioral issues,bipolar disorder,bisexual,borderline personality,career counseling,career transition,child or adolescent,chronic impulsivity,chronic pain,chronic relapse,co dependency group therapy,co dependency retirement transitio,codependency,coping skills,couple and family therapy,depression,developmental disorders,dissociative disorders,divorce,domestic abuse,domestic violence,drug abuse,dual diagnosis,early childhood trauma,eating disorders,elderly persons disorders,emdr,emotional disturbance,executive coaching,executive coaching couples counseling,family conflict,forgiveness,forgiveness practice,gay,grief,impulse control disorders,infertility,infidelity,internet addiction,istdp,launching young adults into adult,learning disabilities,lesbian,life coaching,life transitions,marital and premarital,maximize medical treatmt conditions,medication management,mens issues,mindfulness,mood disorders,obesity,obsessive compulsive ocd,occupational issues,oppositional defiance,panic disorder and phobias,parenting,peer relationships,personality disorders,post partum depression,postpartum adjustment,psychosis,relational psychoanalysis,relationship issues,self esteem,sex therapy,sexual abuse,sexual addiction,singleness issues in dating,sleep depression intense emotions,sleep or insomnia,spirituality,substance abuse,suicidal ideation,teen violence,testing and evaluation,trauma and ptsd,trauma recovery emdr cognitive beh,traumatic brain injury,weight loss,women in transition,womens health care,womens issues,work health and relationship stres,work stress
achiev,31,12,4,1,0,0,1,0,0,1,3,0,2,1,8,0,0,12,2,2,1,12,0,0,1,1,4,3,2,0,2,4,0,2,4,3,4,2,0,1,0,1,7,2,2,1,1,3,1,1,3,1,6,6,5,3,10,11,3,0,16,2,0,1,0,0,0,0,0,0,1,3,13,0,0,1,0,4,12,1,0,0,3,0,0,4,6,0,0,1,1,4,1,7,0,0,3,2,0
acid,0,0,4,4,0,0,0,12,0,0,0,0,13,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,24,12,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,4,0,0,16,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,1
acknowledg,2,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,4,1,0,0,0,0,1,0,3,0,5,3,0,0,0,0,0,4,4,0,2,4,0,0,0,0,3,0,2,10,1,1,5,0,0,0,0,0,0,0,13,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,4,1,3,1,0,5,8,0,1,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
acm,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acn,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
acoust,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
acquir,0,0,2,0,0,0,0,2,0,0,8,0,4,0,0,0,0,3,0,3,1,12,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,2,0,0,1,0,1,0,0,1,0,10,0,0,0,1,8,1,0,0,3,0,2,0,2,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0,3,0,0,13,0,0,0,0,0,0
acquisit,2,0,2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,47,0,0,1,0,0,1,0,0,0
acr,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acrobat,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
act,4,0,16,13,2,1,2,8,21,0,4,5,10,1,4,6,6,12,2,5,1,51,2,2,1,4,5,7,0,8,1,2,6,99,60,5,2,6,0,0,0,5,7,0,6,15,3,6,3,21,1,108,8,7,4,3,34,2,2,17,3,0,1,9,1,1,3,2,7,1,2,3,14,1,0,8,0,4,12,0,37,11,9,4,0,6,34,11,18,0,10,3,3,0,0,0,19,4,3
action,6,7,5,7,0,0,1,16,24,0,13,2,17,3,3,5,8,14,3,2,0,75,3,4,1,13,6,6,4,8,5,11,0,27,23,4,5,3,10,2,1,0,14,4,3,11,5,3,9,18,0,30,4,5,1,3,11,2,0,1,4,3,1,5,1,0,2,8,4,2,4,4,9,0,0,8,9,2,23,0,9,3,1,10,1,4,15,6,16,2,6,2,1,0,3,0,37,9,7
activ,9,8,33,35,9,4,3,34,10,3,15,7,27,3,15,28,19,23,1,3,1,64,25,1,8,7,10,179,1,26,7,6,2,16,14,5,13,9,5,5,5,2,11,2,15,20,2,12,20,5,1,71,58,26,4,5,79,2,0,11,9,1,1,20,19,27,4,5,12,8,28,10,24,4,8,26,9,2,18,40,56,18,6,11,1,11,15,21,12,0,12,9,33,2,4,5,6,21,5
activist,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
actor,0,0,0,0,0,0,0,1,0,0,2,0,0,12,0,0,1,0,0,3,0,0,0,4,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
actress,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acut,1,0,11,4,4,0,1,6,4,0,2,2,2,0,0,3,0,0,0,0,0,1,12,1,0,0,0,0,0,0,5,5,0,1,1,3,0,1,0,8,11,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,6,0,0,1,2,0,0,0,0,1,0,0,1,0,2,12,0,0,1,0,1,1,0,1,1,0,10,7,0,0,3,2,33,0,0,0,0,0,0
ad,2,11,8,12,96,7,7,112,14,4,9,8,19,29,4,5,3,2,14,6,0,12,1,1,3,10,0,9,3,11,6,1,4,2,1,11,1,4,1,31,7,0,1,0,11,8,7,7,4,11,6,0,15,0,11,3,6,0,0,13,5,5,5,10,2,10,0,3,2,1,13,5,6,3,1,1,10,3,2,1,5,1,9,7,1,4,0,2,5,1,0,1,3,5,5,1,20,10,5
ada,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
