academic underachievement,acculturation multicultural issues,addiction,adhd,adjustment coping and illness,adoption,alcohol abuse,alzheimers,anger management,anxiety,aspergers syndrome,attachment therapy early intervention,autism,bachelor amp husband challenges,behavioral issues,bipolar disorder,bisexual,borderline personality,career counseling,career transition,child or adolescent,chronic impulsivity,chronic pain,chronic relapse,co dependency group therapy,co dependency retirement transitio,codependency,coping skills,couple and family therapy,depression,developmental disorders,dissociative disorders,divorce,domestic abuse,domestic violence,drug abuse,dual diagnosis,early childhood trauma,eating disorders,elderly persons disorders,emdr,emotional disturbance,executive coaching,executive coaching couples counseling,family conflict,forgiveness,forgiveness practice,gay,grief,impulse control disorders,infertility,infidelity,internet addiction,istdp,launching young adults into adult,learning disabilities,lesbian,life coaching,life transitions,marital and premarital,maximize medical treatmt conditions,medication management,mens issues,mindfulness,mood disorders,obesity,obsessive compulsive ocd,occupational issues,oppositional defiance,panic disorder and phobias,parenting,peer relationships,personality disorders,post partum depression,postpartum adjustment,psychosis,relational psychoanalysis,relationship issues,self esteem,sex therapy,sexual abuse,sexual addiction,singleness issues in dating,sleep depression intense emotions,sleep or insomnia,spirituality,substance abuse,suicidal ideation,teen violence,testing and evaluation,trauma and ptsd,trauma recovery emdr cognitive beh,traumatic brain injury,weight loss,women in transition,womens health care,womens issues,work health and relationship stres,work stress
acc,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,120,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accept,6,12,0,5,9,4,0,0,2,0,7,3,14,3,4,1,15,6,5,2,6,1,5,1,7,1,4,14,3,1,0,4,1,25,16,4,4,0,7,0,6,1,4,2,4,2,1,3,14,7,0,41,12,10,2,0,19,3,2,9,1,0,7,26,0,0,0,0,1,0,5,19,9,1,12,7,0,5,41,7,4,0,2,0,1,11,11,3,6,9,0,2,1,2,3,6,1,2,2
access,3,8,7,12,3,0,7,5,0,2,4,6,21,22,11,61,5,13,1,0,14,0,2,0,1,3,2,4,5,10,1,10,22,13,10,15,0,2,14,0,3,2,5,5,5,1,1,5,9,0,4,26,80,7,1,1,5,0,0,7,3,4,2,12,10,7,11,8,30,2,0,3,11,47,3,11,4,1,4,0,2,1,5,0,0,6,29,30,7,8,5,7,9,3,0,20,10,7,1
accessori,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
accid,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,3,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,0,4,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,1,0,5,5,19,0,0,0,0,2,7
accommod,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,4,4,0
accompani,0,4,0,1,0,0,0,0,0,0,3,2,2,0,0,0,1,3,0,0,0,0,2,0,0,0,5,1,0,2,3,5,0,3,2,1,0,2,3,3,0,0,0,0,0,0,0,2,0,0,0,10,4,12,0,0,3,0,0,0,1,0,0,0,2,0,1,0,1,2,0,0,3,0,1,1,0,0,2,0,1,0,0,1,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0
accomplish,1,0,1,1,0,0,0,0,2,0,1,0,0,3,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,7,2,0,0,0,0,0,0,1,2,4,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
accord,5,20,4,3,0,0,14,0,3,1,4,6,4,3,1,1,5,8,0,0,0,24,3,4,0,0,2,1,3,1,1,0,9,37,30,9,9,0,5,0,5,1,5,0,1,9,2,14,1,7,4,72,32,0,5,1,11,4,1,3,3,1,2,36,2,0,5,2,2,1,3,4,8,0,5,3,5,4,13,0,14,7,2,0,0,14,27,8,5,2,1,5,5,0,1,5,5,5,6
